fromNode toNode weight direction fromAltName toAltName
Arpp21 Cryab 0.158999408462323 undirected NA NA
Arpp21 Cys1 0.0858384571127315 undirected NA NA
Arpp21 Dhcr24 0.0441075384118822 undirected NA NA
Arpp21 Dnajb11 0.0564981305846745 undirected NA NA
Arpp21 Dnajc3 0.0665897903729419 undirected NA NA
Arpp21 Fdft1 0.0743190889174153 undirected NA NA
Arpp21 Fdps 0.0979019603816968 undirected NA NA
Arpp21 Gm6741 0.0762538777540181 undirected NA NA
Arpp21 Gm7120 0.0215633916387638 undirected NA NA
Arpp21 Hsp90b1 0.0367800571200162 undirected NA NA
Arpp21 Hspa5 0.0745206864108079 undirected NA NA
Arpp21 Hspb1 0.0600885750527995 undirected NA NA
Arpp21 Insig1 0.0704641870472892 undirected NA NA
Arpp21 Iqgap2 0.0260287841089653 undirected NA NA
Arpp21 Klhl29 0.0450198943607057 undirected NA NA
Arpp21 Lamr1-ps1 0.143264739833185 undirected NA NA
Arpp21 Magt1 0.0487453380748617 undirected NA NA
Arpp21 Manf 0.0677806915741258 undirected NA NA
Arpp21 Mapk12 0.0592059292602408 undirected NA NA
Arpp21 Mical1 0.0527385259065714 undirected NA NA
Arpp21 Nsdhl 0.0520204069537921 undirected NA NA
Arpp21 Pdia3 0.0460324443088416 undirected NA NA
Arpp21 Pdia4 0.0324695270421987 undirected NA NA
Arpp21 Pdia6 0.0609640302791185 undirected NA NA
Arpp21 Prnp 0.139966225987496 undirected NA NA
Arpp21 Psen1 0.118313848592997 undirected NA NA
Arpp21 Pstpip2 0.0769565363589375 undirected NA NA
Arpp21 Rab34 0.0408407998576667 undirected NA NA
Arpp21 Rps6ka5 0.113229348041987 undirected NA NA
Arpp21 Sars2 0.0684811833053616 undirected NA NA
Arpp21 Sc4mol 0.0694307488427863 undirected NA NA
Arpp21 Sdf2l1 0.0630459554613704 undirected NA NA
Arpp21 Sh3rf3 0.0520481172457453 undirected NA NA
Arpp21 Slc6a13 0.109300071151666 undirected NA NA
Arpp21 Srebf1 0.0962189404355707 undirected NA NA
Arpp21 Stard4 0.113893523907414 undirected NA NA
Arpp21 Taf6l 0.026423870932223 undirected NA NA
